ProteinGroup,S03,S05,S07,S11,S08,S14
d7956_a1,0,1,0,0,0,0
d8008_a1,0,0,0,0,1,0
d5071_a1,0,0,0,1,0,0
d7365_a1,1,0,0,0,0,0
d6653_a1,1,0,0,0,0,0
d7677_a1,0,1,0,0,0,0
d8773_a1,0,0,0,0,1,0
d6712_a1,1,0,0,0,0,0
d4904_a1,0,0,0,1,0,0
d7017_a1,0,0,0,0,0,1
d7970_a1,0,0,0,1,0,0
d8494_a1,0,0,1,0,0,0
d8499_a1,0,1,0,0,0,0
d7736_a1,0,0,0,1,0,0
d6809_a1,0,0,0,1,0,0
d6433_a1,0,0,0,1,0,0
d7567_a1,0,1,0,0,0,0
d7897_a1,1,0,0,0,0,0
d7406_a1,0,0,1,0,0,0
d7626_a1,0,0,0,0,1,0
d3542_a1,0,1,0,0,0,0
