ProteinGroup,F06,F01,F07,F08
551fbb71-ed91-4427-90bc-1cd8b65f2f22,230,216,410,112
a06966f4-c409-454a-b3b3-8c431cc978f1,246,156,398,166
6180fd72-f714-467b-8b30-cc284554e917,250,144,438,134
66f0cd78-fe97-443d-9bae-b5742e77ba0a,234,226,406,100
6d6781fc-9da2-4b95-95f3-062f99ca68a4,220,240,406,98
657cebd4-a0fb-4035-a8d5-a0ba82cbab09,178,350,384,52
d46a0e6f-6420-4a0f-b969-b81219635db5,198,276,402,86
09733bd5-5661-43c9-9389-011567ec4cd2,228,208,434,92
a5869588-7305-4d89-b24b-0861295e02d1,182,326,360,84
f555607e-2cff-4ad6-bf21-b14d86d095ad,218,252,404,78
466d1c22-3470-4896-867d-928c88191692,244,216,426,60
36d9683d-cd4c-4124-9ee4-bd0eed57fc33,236,214,368,128
3b720bea-1f67-4a74-87fa-71674b074d12,208,218,390,130
3b07753e-2e85-42c0-b220-60a9654349ec,196,288,386,74
466157c4-923e-4910-8b2d-dbd6363fa584,154,366,318,104
388054df-699d-4b37-954c-7a5726319fcd,166,286,394,96
5f53a267-a91c-418e-b0a2-5bba3c9008da,128,464,224,126
0ee19e91-2170-450d-88a5-4cd0c8e57d0d,198,240,438,64
a1977b58-cf2f-4c96-a554-8e94e50ce10e,174,332,362,70
522de107-62d2-4f0d-a7f5-b7733458eaa9,178,220,444,96
0aeebfa0-da63-4821-9796-4f7e3cf58f8f,262,202,424,50
e4b3b44d-fd85-4ec3-954e-0e10e3de36cc,142,302,338,154
bf67146a-5944-40f7-a442-6e6fb0b60847,250,192,426,66
1be310c6-4b94-4183-ab90-50d06765524a,218,204,404,106
e2293d79-07e9-4b27-9e98-d2a1a5910dbb,166,290,334,140
5b724699-b8a6-48c7-8452-7f452b0da348,148,308,334,140
b7f66481-9243-4d53-9ecf-04bb142d771d,164,390,290,82
27ad684a-f0b2-4ccd-b6a3-8576500a5ab5,190,316,368,52
2c06d6ad-b287-46ed-88ec-7143c37077c4,130,474,262,60
92498983-e25b-436d-b7be-f5ef91e64281,214,170,448,92
edb481ab-4c52-492b-82dd-45bb3c02c3b6,212,168,458,84
1787ac13-c0d4-411c-8e6c-1cc69778266c,204,198,388,132
866eae32-05db-4a6a-af60-6c2e04d7154f,168,316,342,96
c35e051e-bcdd-4d03-9af3-6bfe1bd23de6,110,478,226,106
0d5cc4a9-f3bd-4101-81f6-d85ceabb1a47,220,180,390,130
7b484b92-27de-4f82-b4bb-7802a40c0d0f,180,352,376,12
c9f136df-09a6-4034-b8c4-bda8e18c483a,238,194,428,56
2c0bd28c-d93a-4195-ae38-4c1fc2672ed2,166,270,352,128
7719a4ab-f9cf-4b46-b608-1c42911563db,154,218,238,306
ca1b2497-d999-4270-931d-7822dc1f3f54,192,314,330,78
bccb7072-35d3-4646-8bb9-f90ea00e0393,184,220,434,76
6321feab-752a-4e54-9756-8d921741d384,202,204,428,76
6f3afc96-adf7-4ec0-99c3-27d20ba8e268,254,220,394,42
160e7c32-1a1a-48f0-bd22-96c7a026e6c1,166,196,492,52
97f64c6b-6ccd-4fbe-87cf-5b2246f0e4c3,142,306,296,162
047aa9d6-f861-4fcc-85f3-d32f6969e118,170,366,338,30
d3d2759f-bcd2-468f-a16d-09551f680e29,158,286,346,110
343b9b5b-f774-4c22-80df-c967ad998abf,168,290,336,104
78bcf687-74e4-44b1-b8b3-ec01ad37b697,164,290,366,78
442b099b-e10b-4639-b112-44e3fa8a5e5e,196,250,400,48
e13ba3e1-99e3-479c-a13e-1cee6677808b,146,382,262,100
46410190-d642-418c-9a28-b1740e5c2661,244,184,416,46
c16ba7f6-2c4a-420e-a2f4-fc28fac13bb3,62,414,114,300
f4eb8ca4-e4a1-4a13-bec6-a607604f64c4,240,150,456,40
630e107f-26c2-4392-a271-f280cc5a4c58,196,264,332,94
f08043fd-91ec-45e7-8db5-501110a4eb03,212,198,396,78
9f9e9eff-24f6-45e6-aaed-fb5ee618799a,214,116,430,122
50413fd4-bac9-46ad-9d3f-5a57432bdb8d,226,204,388,64
a69fea82-dbff-4bc0-b3db-f008aaf4c9e4,172,264,336,108
eb051c7a-7806-4689-953d-038e2fc934d9,156,266,354,104
b778fb49-5355-4eee-8745-6a1d8ecc910e,190,198,368,122
cd716326-0763-419b-94e9-c09e5a8073d0,182,252,346,98
