KO_MANTIS_CONSENSUS	QUANT
K03647	32
K00138	159
K02314	2
K02798	2
K02313	24
K12573	167
K12574	6595
K16937	49
K03631	4
K02784	1225
K00123	7
K03630	354
K05813	410
K02782	23
K02781	5
K22373	83
K00128	74
K00129	317
K02788	256
K00125	157
K02302	8
K02786	5
K07192	518
K01409	2537
K16904	196
K01883	3201
K01880	6143
K01881	283
K21011	476
K22341	4
K01889	2130
K00558	217
K01886	3440
K23675	432
K01887	486
K19181	161
K01885	2
K14731	2
K13889	168
K13888	495
K01872	4618
K01870	7337
K13409	403
K21022	2
K21021	4
K00548	13
K01879	6
K00549	2610
K01878	91
K21024	4
K01875	16915
K01876	12536
K01873	3472
K01874	6469
K03609	1302
K03608	230
K12528	352
K12527	235
K12524	227
K01421	104
K00574	405
K12529	1243
K20143	64
K21478	70
K01428	4
K01429	222
K02759	76
K01427	1024
K03604	4
K03602	892
K00575	13
K03601	5
K09388	2
K14717	48
K01893	13468
K19171	4
K01894	5
K00560	726
K01892	2821
K11209	2
K01890	2993
K00568	5
K02747	64
K02746	16
K20156	12
K00566	14
K01897	405
K21009	5
K02744	70
K22339	66
K19170	6
K01896	50
K13038	10
K01046	71
K02377	41
K00197	3084
K00198	4042
K02372	10
K01040	8
K00194	4499
K02371	1216
K05881	4
K13040	2
K01048	4
K05887	1035
K21903	42
K16554	105
K24180	192
KdpA	288
K03698	13
K05878	280
K03697	1179
K03696	8160
K05879	39
K00186	84
K03695	19116
K01034	40
K00187	74
K06726	2
K03210	237
K03694	440
K21900	26
K03218	1164
K01039	183
K05874	54
K03217	24
K03216	309
K03215	1196
K03699	4
K13013	54
K13497	12
K18703	2
K18704	151
K18707	287
K01071	2
K13017	8
K18700	565
K18702	45
K01069	3
K02399	7
K01066	26
K02396	2
K13020	196
K16531	10
K02390	136
K02387	464
K01055	642
K01054	18
K01051	157
K04564	579
K04566	2
K04567	6545
K15652	2
K17830	2
K13479	83
K17836	23
K03665	1031
K01486	8
K05844	315
K00156	8
K04516	29
K23271	4
K01485	9
K01483	8
K01480	408
K13480	19
K01008	18
K02338	2392
K01006	112811
K01007	848
K03668	17
K02337	154
K02336	18
K01005	10
K02335	492
K01489	76
K05833	2186
K03654	13
K01475	108
K00145	2085
K03651	8
K01474	9
K05837	145
K03650	2
K00140	38
K01470	12
K03658	239
K03657	781
K00147	68
K01478	196
K03655	121
K04985	26
K05832	24
K15633	4682
K16961	5
K17818	420
K15634	20
K03687	1899
K00177	29
K02356	788
K02355	73879
K03686	369
K00175	162
K03685	19
K21071	6204
K01023	9
K00174	1566
K23253	2
K00172	5
K23259	99
K23258	3
K03208	2
K02358	78876
K01026	27
K03205	47
K00179	28
K02357	5796
K12132	365
K00170	160
K17828	558
K23270	163
K14314	29
K01497	21
K21084	2
K01496	36
K01012	720
K02342	2
K02341	90
K01493	2
K02340	1706
K03671	396
K21088	10
K01491	861
K23264	4
K23269	14
K00169	4
K02346	1
K00919	11
K00917	2
K04041	216
K04042	36
K18205	2939
K18206	429
K03189	76
K18691	80
K18210	40
K18694	38
K17363	2175
K04034	23
K06213	230
K05366	138
K06215	2124
K06217	84
K04031	679
K00903	1
K03182	70
K19545	10
K18218	69
K06207	13816
K06209	9
K03177	2
K06200	3026
K09710	263
K07533	17
K04024	100
K07535	2
K04026	379
K15192	20
K04027	11405
K06206	2
K20534	46
K00939	6117
K00937	928
K07571	627
K20509	1026
K19510	810
K10708	497
K10709	63
K18672	139
K00931	4
K09747	13
K07568	291
K00930	886
K21833	76
K09748	171
K00928	821
K00929	28
K00926	1017
K00927	36782
K16013	507
K00925	14022
K10710	8
K18673	16
K18675	404
K18682	1162
K04043	18397
K06221	83
K04045	55
K08884	177
K06223	4
K20997	242
K04047	823
K14286	417
K04480	20
K03151	92
K03150	61
K17319	84
K17318	16834
K03147	1917
K07505	6
K18650	111
K20964	4
K04477	72
K20965	57
K07504	69
K03149	1438
K19507	8
K19508	69
K19509	16
K16474	38
K17320	225
K07979	135
K02283	2
K05795	137
K20976	257
K05799	38
K15599	64
K15598	12
K05350	148
K04020	499
K19954	37
K19955	18
K05349	2523
K03169	4
K04019	4
K03168	282
K09706	10
K05341	206
K05343	43
K09704	11
K09702	75
K20957	3
K03153	17
K03152	55
K04485	126
K04486	98
K04487	3495
K04488	8941
K07150	2
K08483	2979
K01848	13
K07154	8
K12988	30
K12987	28
K12506	286
K12984	461
K12983	22
K00991	427
K00990	16
K01847	306
K06298	2
K01844	12
K01845	303
K22300	845
K00995	154
K00996	48
K01843	244
K01840	3976
K12990	2
K01839	228
K01838	37
K18299	1
K12511	22
K12510	5
K12994	4
K12997	2
K00980	14
K00981	98
K21462	210
K01835	1099
K06287	69
K07137	1985
K01834	451
K07138	236
K07171	144
K12960	6
K07173	383
K20108	4
K23617	4
K16089	31
K19597	24
K11636	123
K19117	48
K19118	16
K11633	32
K13810	306
K01868	5018
K01869	1182
K01866	3260
K01867	3142
K00533	23
K16092	25
K00532	7
K10793	285
K07166	70
K07165	1
K19124	4
K11645	14
K10794	480
K11641	3
K10797	11
K13821	4
K13829	196
K00526	38
K01858	180
K02703	16
K00525	10
K01854	2730
K01808	870
K01809	54
K21417	4
K04083	28
K09772	233
K01807	13
K09773	46
K01804	12314
K00957	581
K01805	1393
K04086	2880
K19575	8
K18244	100
K12941	5
K00955	222
K09765	4
K07102	26
K04077	28104
K01803	7945
K00956	1977
K04078	1130
K04079	15425
K00954	11
K00951	342
K04070	2
K04072	13171
K00948	3101
K09761	125
K00949	8
K09762	5
K04074	78
K04075	21
K19586	24
K10773	4
K19108	6
K11621	17
K16087	2
K00944	90
K00945	1876
K04066	1
K07574	128
K00942	1550
K04068	2
K07576	2882
K04069	196
K00940	68
K09759	1637
K00941	216
K22757	2
K06282	4
K06284	113
K07130	112
K07133	315
K09792	10
K16044	33
K10742	405
K00970	21
K00978	2
K00975	11832
K07126	230
K01823	230
K00973	4729
K00974	2
K00971	8
K01819	250
K04092	15
K04094	52
K01818	15867
K01815	1186
K00969	1444
K18234	122
K18235	62
K01813	2749
K04087	8
K04088	6
K01814	34
K09777	591
K01811	760
K00965	1329
K01812	7312
K07114	8
K00962	30475
K01810	20766
K00963	161
